id,name,recclass,mass_grams,year,reclat,reclong,GeoLocation
72,Bansur,L6,15000.0,1892,27.7,76.33333,"(27.7, 76.33333)"
73,Banswal,L5,14.0,1913,30.4,78.2,"(30.4, 78.2)"
74,Banten,CM2,629.0,1933,-6.33333,106.0,"(-6.33333, 106.0)"
75,Barbotan,H5,6400.0,1790,43.95,-0.05,"(43.95, -0.05)"
77,Barea,Mesosiderite-A1,3200.0,1842,42.38333,-2.5,"(42.38333, -2.5)"
78,Barnaul,H5,23.2,1904,52.73333,84.08333,"(52.73333, 84.08333)"
79,Barntrup,LL4,17.0,1886,52.0,9.1,"(52.0, 9.1)"
80,Baroti,L6,4500.0,1910,31.616670000000003,76.8,"(31.61667, 76.8)"
81,Barwell,L5,44000.0,1965,52.56528,-1.33972,"(52.56528, -1.33972)"
82,Bassikounou,H5,29560.0,2006,15.78333,-5.9,"(15.78333, -5.9)"
83,Baszkówka,L5,15500.0,1994,52.03333,20.93583,"(52.03333, 20.93583)"
84,Bath,H4,21000.0,1892,45.41667,-98.31667,"(45.41667, -98.31667)"
85,Bath Furnace,L6,86000.0,1902,38.25,-83.75,"(38.25, -83.75)"
86,Battle Mountain,L6,2900.0,2012,40.66813,-117.18913,"(40.66813, -117.18913)"
87,Bawku,LL5,1557.0,1989,11.08333,-0.18333,"(11.08333, -0.18333)"
88,Baxter,L6,611.0,1916,36.75,-93.5,"(36.75, -93.5)"
89,Beardsley,H5,16000.0,1929,39.8,-101.2,"(39.8, -101.2)"
90,Beaver Creek,H5,14000.0,1893,51.16667,-117.33333,"(51.16667, -117.33333)"
91,Beddgelert,H5,794.0,1949,53.01667,-4.1,"(53.01667, -4.1)"
92,Bells,C2-ung,375.0,1961,33.6,-96.46667,"(33.6, -96.46667)"
94,Benares (a),LL4,3700.0,1798,25.366670000000003,82.91667,"(25.36667, 82.91667)"
95,Benguerir,LL6,25000.0,2004,32.25,-8.15,"(32.25, -8.15)"
96,Beni M'hira,L6,19000.0,2001,32.86667,10.8,"(32.86667, 10.8)"
97,Benld,H6,1770.5,1938,39.08333,-89.15,"(39.08333, -89.15)"
98,Benoni,H6,3880.0,1943,-26.16667,28.41667,"(-26.16667, 28.41667)"
99,Bensour,LL6,45000.0,2002,30.0,-7.0,"(30.0, -7.0)"
100,Benton,LL6,2840.0,1949,45.95,-67.55,"(45.95, -67.55)"
101,Berduc,L6,270.0,2008,-31.91,-58.32833,"(-31.91, -58.32833)"
102,Béréba,Eucrite-mmict,18000.0,1924,11.65,-3.65,"(11.65, -3.65)"
103,Berlanguillas,L6,1440.0,1811,41.68333,-3.8,"(41.68333, -3.8)"
104,Berthoud,Eucrite-mmict,960.0,2004,40.30583,-105.02325,"(40.30583, -105.02325)"
105,Bethlehem,H,13.9,1859,42.53333,-73.83333,"(42.53333, -73.83333)"
106,Beuste,L5,2000.0,1859,43.21667,-0.23333,"(43.21667, -0.23333)"
107,Beyrout,LL3.8,1100.0,1921,33.88333,35.5,"(33.88333, 35.5)"
108,Bhagur,L6,18.0,1877,20.883329999999997,74.83333,"(20.88333, 74.83333)"
109,Bhawad,LL6,678.0,2002,26.508329999999997,73.11528,"(26.50833, 73.11528)"
110,Bherai,L6,100.0,1893,20.83333,71.46667,"(20.83333, 71.46667)"
111,Bhola,LL3-6,1047.0,1940,22.683329999999998,90.65,"(22.68333, 90.65)"
112,Bholghati,Howardite,2500.0,1905,22.08333,86.9,"(22.08333, 86.9)"
113,Bialystok,Eucrite-pmict,4000.0,1827,53.1,23.2,"(53.1, 23.2)"
114,Bielokrynitschie,H4,1900.0,1887,50.13333,27.16667,"(50.13333, 27.16667)"
115,Bilanga,Diogenite,25000.0,1999,12.45,-0.08333,"(12.45, -0.08333)"
116,Binningup,H5,488.1,1984,-33.15639,115.67638999999998,"(-33.15639, 115.67639)"
117,Birni N'konni,H4,560.0,1923,13.766670000000001,5.3,"(13.76667, 5.3)"
118,Bishopville,Aubrite,6000.0,1843,34.16667,-80.28333,"(34.16667, -80.28333)"
119,Bishunpur,LL3.15,1039.0,1895,25.383329999999997,82.6,"(25.38333, 82.6)"
120,Bjelaja Zerkov,H6,1850.0,1796,49.78333,30.16667,"(49.78333, 30.16667)"
121,Bjurböle,L/LL4,330000.0,1899,60.4,25.8,"(60.4, 25.8)"
122,Black Moshannan Park,L5,705.0,1941,40.91667,-78.08333,"(40.91667, -78.08333)"
123,Blackwell,L5,2381.0,1906,36.83333,-97.33333,"(36.83333, -97.33333)"
124,Blanket,L6,5100.0,1909,31.83333,-98.83333,"(31.83333, -98.83333)"
125,Blansko,H6,470.0,1833,49.36667,16.633329999999997,"(49.36667, 16.63333)"
126,Bloomington,LL6,67.8,1938,40.48,-89.00417,"(40.48, -89.00417)"
127,Bo Xian,LL3.9,7500.0,1977,33.83333,115.83333,"(33.83333, 115.83333)"
128,Bocas,L6,56.0,1804,23.0,-102.0,"(23.0, -102.0)"
129,Bogou,"Iron, IAB-MG",8800.0,1962,12.5,0.7,"(12.5, 0.7)"
130,Boguslavka,"Iron, IIAB",256000.0,1916,44.55,131.63333,"(44.55, 131.63333)"
131,Borgo San Donino,LL6,1676.0,1808,44.86667,10.05,"(44.86667, 10.05)"
